Artist_ID,Name,Genres,Popularity
3BJmyFO1PAwy3kW5YzdvQL,Kingdmusic,gospel amapiano,38
2HLr9NzCqd6XRnpUSM6CvH,Yumbs,amapiano,46
1nVEvn7RMNxj27rn0WE13E,Mr JazziQ,amapiano,48
6zfTCQmxqOy0kBpHrse3ro,Soa Mattrix,amapiano,49
6fHE8xZBCxzwer9DIbOmv4,Boohle,"amapiano, south african r&b",46
6Wqpl1YTjgy5TiTluzFzjx,Tman Xpress,amapiano,49
4QkKUb73NVonTlAZaShsuY,Sir Trill,amapiano,48
4Ijr6oNjLibby38inghdKO,Visca,amapiano,47
30Ep7ARHnQpc0z9otD7jup,Alfa Kat,amapiano,43
2j4WQI5RTNgyEd7wbDTRe1,Ch'cco,amapiano,47
7MKSufJrPmpqpg2mVWJET1,Njelic,amapiano,48
6k8odn7NzzTT4K3NBNtsfV,Felo Le Tee,amapiano,46
5Sgtj9tFA2TAYXDeh1sJTc,Khanyisa,amapiano,46
3Oa0mJQWQrUOqJ8fcLuu7l,DBN Gogo,amapiano,43
1Ck3UYsoNkZ63PLY8yZR33,Abidoza,amapiano,43
5lnxhnW7SIbxkkFVmVYEhU,Lowsheen,amapiano,47
4Swe2JHqCnhe8uQA9oNs08,QuayR Musiq,amapiano,47
46R9PUVbIOMjSUtMsQZbQq,Sam Deep,amapiano,48
2Hj2zBCjnAnmLmNIyjuMGo,Gaba Cannal,amapiano,44
2TcrjcSngRPpgZxmIlPdym,Busta 929,"amapiano, sgija",46
5vFGtc23dtvt3f7FSK7vtg,LeeMcKrazy,amapiano,47
1XoIF7wcOtFdQdB6vJQumb,LuuDaDeejay,"amapiano, underground amapiano",39
2iN5MhOgkenO5FtkPtEVAF,Wanitwa Mos,amapiano,45
7LkCT07miUMz6JlKRqi3v0,SjavasDaDeejay,amapiano,46
5eYSqn4LCXLgIFYR4qOZ1k,TitoM,amapiano,46
2mF7ygWz9oyJ3L6ZPWlZVH,Vigro Deep,"amapiano, sgija, underground amapiano",43
6EG9v86LsCoq5HS4Jj1zCQ,Pabi Cooper,amapiano,42
788jOE9HMUy9heDK8EIkon,Kamo Mphela,amapiano,38
1eQJUHJRurFXGd3j8i8W4x,Lady Du,amapiano,42
2SjA4XyWd56a9VEfOoXrce,Kojo Dave,"gospel amapiano, ottawa rap",31
4WcuDDFGfo4j6VHqkGmjZ8,Deep London,amapiano,39
0GMM9vgCLkEfMle3KaJyxy,Emotionz DJ,amapiano,42
2kzWkuJM5Na5hINP7akcJj,Sfarzo Rtee,"amapiano, sgija, underground amapiano",42
6oVuIgUWHJFOGb26gVuGsX,Mfr Souls,amapiano,37
45c90J0Hvj1PMIFtm0b1ML,2woBunnies,amapiano,40
14MDqT8L01RPVlJc0BqLLA,Mpura,amapiano,40
19qLtUQKu1KK3UrQtIoVXF,Blaqnick & MasterBlaq,"amapiano, sgija",38
40rNjx0M8iAB9kwQB3h1oI,Dinky Kunene,underground amapiano,41
4Fvr1wBzDl0Qy3QwcbAVnS,Ko'rale,"christian afrobeat, gospel amapiano",34
3I9aGvBiB4q6eQh0ge4VKU,K-Anthony,gospel amapiano,26
6chuSYrZG5i9GbSW5DdNWR,MDU aka TRP,"amapiano, sgija",39
653Y1k21jYNqD7XY4lszrK,Mhaw Keys,amapiano,40
3qo2q05gFa09MXrEZltr7q,Nobantu Vilakazi,underground amapiano,38
0iCxUN3V2MB2iL3yTMgbhQ,Mkeyz,amapiano,39
0IBbki2AxG9X2cjaqrSGP3,Lebza TheVillain,underground amapiano,37
6y5EP3L2WblCQsc8iuGeP9,Konke,amapiano,37
1kV0CNLLylygX6XfJjt75N,Deeper Phil,underground amapiano,39
7ewc3ni3IAtqLygEnDi66K,Zuma,amapiano,38
4F8OilWxRKQzg1Lw9sJ4Pl,Dj Jaivane,amapiano,39
3hBV3vYyb4kAxFfCevJjjg,Souloho,amapiano,27
39YR6OMtIBgQxdZREgTii1,T-Man SA,amapiano,37
0Es1TBdBiQPIdwQWLJelte,Josiah De Disciple,"amapiano, south african house",37
6ucYQLJMMVyN1nO4GebaV2,Reece Madlisa,amapiano,37
6NiMv0ab5p3HfDO7H92H75,Nkulee501,"amapiano, sgija",36
4seQKbHnG8TM3jKeUvHFw1,Dj Karri,underground amapiano,35
1PINqStNpc48PWNAMDQpVj,Q-Mark,amapiano,35
6rQ1MAPgKqwX5hTZZdcJf2,KayGee DaKing,amapiano,33
6G8cF1dY05cxy99pzEdGya,Djy Zan SA,amapiano,35
1YKPUOZchJZDIwoU7SZiZg,UNLIMITED SOUL,amapiano,33
2J1TbsWFTYT0LHNSX897xS,Kwiish SA,amapiano,37
25IVkspnS4ZKKxGVyOgVnK,MalumNator,amapiano,36
1ELUrmWBlXkqVabjVincQ6,Bassie,amapiano,37
2FgJA67LUo0uQ6WXafNTKQ,Tee Jay,amapiano,36
7FlhY1KXkExO3TcdSsJUjQ,The Lowkeys,amapiano,35
47QqOqn5ySXFRyTezxJRBF,Spirit of Prophecy,gospel amapiano,31
3Y4R3beJgTc14iwsKbAV7r,DJ Buckz,underground amapiano,31
3ciriYzsPraVHAuNLA1ylh,Dj Obza,amapiano,34
3khoe9PeLSPw1Q0db4TpWW,Musical Jazz,underground amapiano,36
5BoFZUfqPCRXgzBUWEU8wn,Princeton South,gospel amapiano,26
2mRDgWrF5x7MOS1X1C1UDF,Semi Tee,amapiano,33
1J33KW1wp9oQvxHKEC2OGJ,Obeey Amor,amapiano,32
1G4Rnei7H9xEN8jG4CwsgX,Mdoovar,amapiano,32
0bklXcSWnh72t6Uo1RPeGA,ThackzinDJ,amapiano,34
1roTzbKGDx7ZFBA5oibNPW,9umba,amapiano,31
7kIugQ8wJXbh4k72hgMuyK,Nia Pearl,amapiano,33
6xaKm4AEnJJ2N2tw4wYRMK,Dlala Regal,amapiano,32
5wVRDS1b9ZMXN6VKEl8f9b,Masterpiece YVK,amapiano,33
2qyayQizFjGigmZVrwyuf9,Mick Man,"amapiano, sgija",34
5IVpGXuroRfHuHKd7SSARS,Killorbeezbeatz,underground amapiano,34
7lVBawhz0dr9UnFokEvtrP,Nikki Laoye,gospel amapiano,22
17GosBGcjmcVVy4M6NBwQ9,Caltonic SA,amapiano,31
4KlAW4TYEcxlQp46EioZhw,Nicole Elocin,amapiano,31
2UJIApZoVW4enFYjW39Tfv,yoyo michael,gospel amapiano,25
4RZQX1vkRjewMYodn5wZ9F,Kammu Dee,amapiano,31
3Q259wuL2vRuisWyvYcebg,Jessica LM,amapiano,31
7Hb7ZlUE4ByWsV1Rkc4Uo2,Sizwe Alakine,amapiano,30
3NQIgbNJLGPryAiwDI3h9H,Amu Classic,amapiano,32
0Mu3PMBPwtQh5iggGTmudK,JazziDisciples,amapiano,30
1YO25RWxpZ2Pvg82Bs4ING,Djy Biza,amapiano,31
5jSbjWfYWUZpecgalIOldH,Beast Rsa,amapiano,31
1BC2o2RW9sGr2NB8jXlYQv,Officixl Rsa,underground amapiano,32
2W7nPPpIexiZtYUFruBXBD,Uncle Vinny,underground amapiano,30
01n03WadoqgmHHDQ24v3kV,Ntokzin,amapiano,30
3pkvmcbars2K4OSqmRTC7m,Sinny Man'Que,amapiano,32
