Artist_ID,Name,Genres,Popularity
1JPy5PsJtkhftfdr6saN2i,Bassnectar,"bass music, breakbeat, brostep, edm, glitch hop",52
0uCCBpmg6MrPb1KY2msceF,Burial,"classic dubstep, electronica, future garage, hauntology, intelligent dance music, trip hop, uk bass, wonky",48
5REF3rMSUd6bSRwgV09dzQ,Dj Laz,"bass music, miami bass, miami hip hop",43
6mMCSCuTbGU6kNr4303LwH,The Flashbulb,"breakcore, drill and bass, intelligent dance music",42
5xMtVcziLHpIwD9iNWPOM6,Casino Versus Japan,"abstract, deep idm, drill and bass, intelligent dance music",42
4mtHSXwIHihO6MWNq5Qoko,Squarepusher,"abstract, drill and bass, electronica, intelligent dance music, trip hop",43
6WH1V41LwGDGmlPUhSZLHO,Autechre,"abstract, ambient techno, drill and bass, electronica, glitch, intelligent dance music, uk experimental electronic",40
2uKdaXgrMhFmogK0VNBeYM,Bass Boosted Beats,bass music,38
1bqaQBqbqbEXPxLF0v6AAH,Dave Holland,"british jazz, contemporary jazz, contemporary post-bop, ecm-style jazz, jazz, jazz double bass, library music",36
2bYCvT1nqpbbspU5DZG5nA,Bogdan Raczynski,"braindance, breakcore, deep idm, drill and bass, glitchbreak, intelligent dance music",35
6hxlIANxRjG8mQTcR8evvP,DJ Magic Mike,"bass music, miami bass, trival",30
7AiamoV760pPGGM5PbOC6X,µ-Ziq,"abstract, braindance, deep idm, drill and bass, intelligent dance music, uk experimental electronic",35
7eKIP3IoPoUAZgZuvMM6hf,Venetian Snares,"acid idm, braindance, breakcore, drill and bass, hardcore techno, intelligent dance music",34
0roCoWVCD0Qgr0u15TO3dT,Planet Patrol,"bass music, electro, freestyle, miami bass",29
4JUSCFfdr8aYMOMt4Fv0YK,Bass Mekanik,"bass music, miami bass",32
3hXDMlrPegHRO0zUvBsRSI,Photek,"atmospheric dnb, drum and bass, intelligent dance music, jungle",35
0R879eeczZPVAwTrbKXREp,Kettel,"abstract, deep idm, drill and bass, intelligent dance music",33
1xhLJFJK9sXK9B2CPGzt11,Rodney O,"bass music, electro, miami bass",26
2GjnMGiQjHjG5rb5cQ7P4k,Gucci Crew II,"bass music, miami bass, old school hip hop",28
0DDFk56QBhetDQ1wwNf8oG,Bochum Welt,"abstract, acid idm, braindance, deep idm, drill and bass, intelligent dance music",33
7vmYkpbvGnUuJGhzHD0Hu2,Rodney-O & Joe Cooley,"bass music, electro, miami bass",25
4LJi5IFNBJ1B5ff2Lj7zv4,Bass Boosted HD,bass music,33
0HfxCluo7N2dhr4oRM0wBv,Luke Vibert,"acid house, drill and bass, intelligent dance music, trip hop",31
0Dk1BDWVMipsnMHXVbbDZ3,Bass Boosted,"bass music, trap beats",30
0OmHDBh5styCXDWKwz58Ts,Ochre,"drill and bass, intelligent dance music, new tribe",28
3INW2gvv9ZcgPGL0oqkOXy,Wagon Christ,"drill and bass, intelligent dance music, trip hop",28
6Auo6gEPwhb9aZindgVpZJ,Ital Tek,"classic dubstep, drill and bass, footwork, future garage, glitch hop, intelligent dance music, substep, wonky",29
35A2w8NQDT3VuQlBNVSfyw,Benn Jordan,"drill and bass, intelligent dance music, space ambient",25
6D5qrT7NQXcdvFTtCJNszl,Kelpe,"ambient idm, drill and bass, intelligent dance music, uk experimental electronic, wonky",27
0ETj8Fz7tzn3vCHKFhbRLU,Techmaster P.E.B.,"bass music, miami bass",23
3NMTA4DwCEC19uNdIIwiMW,Bass Patrol,"bass music, miami bass",24
6ULjGlnhcCwHIJigN47K5U,AFX,"braindance, drill and bass, intelligent dance music",27
3vjd6YHdWCqO3MWaYbxDf0,95 South,"bass music, miami bass",21
6zgXOMvAkGeH4zr8jALhwB,M.C. Shy-D,"atlanta bass, bass music, electro, miami bass, old school atlanta hip hop",21
0mBYl93nGB5YKHZZPMzYc9,Bass BSTR,bass music,27
0FhfezGfDiRAGxIXz4qeKl,Nemesis,"bass music, miami bass",19
1UIP0vXQv4GjXqlUEJvr0l,Bassotronics,bass music,24
1hTlyo5QWVHUA3xUGgXqa5,Proem,"abstract, ambient idm, deep idm, drill and bass, glitch, intelligent dance music",24
1A6LF8jYHkaRro5x8JRT2w,Polygon Window,"ambient techno, braindance, drill and bass, intelligent dance music",24
6n5tE02hHwoNcLFHZJTcLC,Bass Test,bass music,30
0TZfDwCnRJr7CmqjLTxVBu,Freescha,"ambient idm, deep idm, drill and bass, intelligent dance music",23
