Artist_ID,Name,Genres,Popularity
0v2oB2xMS64U3lcU5DFuCY,Peven Everett,"broken beat, chicago house, deep house",42
5WaobPZaAjGIIlabFX3I94,Opolopo,broken beat,39
0BzTIDnFI4pvhy7vVNd41Z,Omar,"acid jazz, broken beat, indie jazz, neo r&b",39
1BlBZ9jQGOjmj6Zykgg43L,4hero,"broken beat, drum and bass, jazztronica, jungle, nu jazz, rave, trip hop",36
39g75EmRFeFbvHhsGjUpLU,Amp Fiddler,"acid jazz, bass trip, broken beat, indie jazz, neo r&b",37
1x2aM48UiN5WoQL6ISEPvz,Kaidi Tatham,"broken beat, indie jazz, uk contemporary jazz",35
6K3loJxbWoXzVycXOBKh7P,Mark de Clive-Lowe,"broken beat, indie jazz, nz electronic, nz jazz",30
5HintvHxi0uDBgNaRKWZOt,STR4TA,"acid jazz, broken beat, indie jazz, uk contemporary jazz",29
4RHulYLsymySn2JlGzyXfc,Clara Hill,"broken beat, deep house, downtempo",30
2l5ZGbhMgK4bXV5kMdMFge,Dego,"broken beat, indie jazz",30
6kOYTwdWQF73PXP7WyRsNJ,Byron the Aquarius,broken beat,27
5irzRcjrMrXFfQqCoDkuW5,Georg Levin,broken beat,34
1XZzbCZRuj6eOdRxQcmiD7,Zed Bias,"broken beat, uk funky, uk garage",33
2CcySBwLtpPpzUwxfszvvt,K15,"broken beat, experimental house",26
0cRb0uw1Ci3pI1FCEWT6Kh,Lanu,"broken beat, electro jazz",26
61DvlgEM6AtszTLLPP4diu,Lady Alma,broken beat,24
0Ot21Sy0MDkbgacGh22omF,Vikter Duplaix,broken beat,25
0pBnxeB4QkiESiPVV4riPQ,Lord,broken beat,27
5IcRvSiReLydKCr56ObWuX,Steve Spacek,"afrofuturism, broken beat, indie jazz",26
0Cl7W7wMVEl8NtwKIQoa6Z,Fertile Ground,broken beat,20
0j8gclZl8amrxyH2PORS7U,[re:jazz],"acid jazz, broken beat, japanese jazztronica, nu jazz",28
69Jz3OjR3kdhCoJoAY8PSL,The Rebirth,"acid jazz, broken beat",20
2klQbxaAVeQMof4GsPFH5S,Recloose,"broken beat, nz electronic, trip hop",26
3dLfgaGJjjkkF1OUNiEput,King Britt,broken beat,21
10Mz09DRdfsBvUVTUWiqIv,Kyoto Jazz Massive,"broken beat, japanese jazztronica, jazztronica, nu jazz",24
5SzS5oO4JHTpjuyvMSbOfJ,Capitol A,broken beat,26
5azPv1y5kPJljpHQmy5K32,WheelUP,broken beat,20
4fH73bVIwM24QrBqjTrhAA,Gilles Peterson,"broken beat, indie jazz",20
1TltGeYRJu8JbGgSoisLfO,Phil Asher,"broken beat, soulful house",20
3Fo8jy2ayRJdwl8SMgbKrG,Platinum Pied Pipers,broken beat,13
3UbnYRfDPL3L74oFrJJxxv,Bugz in the Attic,"broken beat, funktronica",16
1GhDVB3CquhzQh8PXdGhGr,Colonel Red,broken beat,15
0JIVB0qOQBIYvn1hWVEIgu,Daz-I-Kue,broken beat,14
2iEvHAPa3A9WCngwRFhOu3,Marc Mac,broken beat,12
7nwIoaeDAyslxQH4PRacsh,Black Jazz Consortium,"broken beat, chicago house, deep house, deep soul house",12
6XwHEDOkZpFRqtZDXLYHlK,Seiji,broken beat,12
7lP1YHtXrdKNNGKoBdJ309,Brotherly,broken beat,10
1qJhFa0HuwKkNvjKIxSs7W,Domu,broken beat,12
1aStXP3F92SgdczG1gx1Mp,IG Culture,broken beat,12
0VlljoISwdmJ7SzGt6Xa6P,Kaidi,broken beat,12
76K4RYESt28PEgRYHpgBuV,Modaji,broken beat,11
7i0E2ILBOdsvqmrX7shhJE,Simbad,broken beat,13
75TYwr3iGvyhEteot9QeId,Sonar Kollektiv Orchester,broken beat,10
2ox6AU0eHDMkXfbcvmOQA4,Bembe Segue,broken beat,10
1e0ENuz20Om28Xs2yXryRY,2000black,broken beat,7
1POMDkMfgPRGyHbfkbE67l,P'taah,broken beat,6
7wrDjGh9ppxvLdW66JaT2Z,Silhouette Brown,broken beat,6
1uxmC0vEBDl4tSNX3BVUf6,Moonstarr,broken beat,7
4ahagFppWX4zKdOSIkFgAC,EVM128,broken beat,10
3CMaxavnvtmYV5pK3k0Yq2,Afronaut,broken beat,8
15hGS7SkxJseMDuhV5satY,Restless Soul,broken beat,9
4Ef8gaUMYRrh1vpTGeKluW,Alex Attias,broken beat,7
3P5uKaS4KYWP8cbAssHJz4,ISoul8,broken beat,5
4HpFW0vO1bujD3CTOyInaV,Mark Force,broken beat,5
2x0dOrL0VF03TCmuYWC0jp,Maddslinky,broken beat,7
33J3SgqG9hsv4KvXmSYVdF,Two Banks Of Four,broken beat,5
7vMpaOH4t4R8GSNSMlWBOA,New Sector Movements,broken beat,5
2Dcqwokizs4vSMXCVFqfQs,Kirk Degiorgio,broken beat,7
6i4TqMLuu7iBfyju8r8P0Q,Kay Suzuki,broken beat,6
4gQSZwOXUbS477sDbamt4z,Swell Session,broken beat,6
7xYxfrSvsHKrkeX7pUhAHX,Afronaught,broken beat,2
4PQK5eZ4T2oyMAG5CEBK42,Nubian Mindz,broken beat,3
2b9JWvDA8VqZAlp6FAblmO,Umod,broken beat,0
1JoZG17UWW25zYMhhEHQlK,Afronaut,broken beat,1
0d2EpYBXX0YAvt16M8VX2U,Cousin Cockroach and Shox,broken beat,0
6rGRGPSHKXdM49YEcecYLB,Jeremy Ellis,broken beat,3
16sLw3VuNq9moYSHjNGFqr,The Politik,broken beat,1
7KBBKk2eu1UfV8L3CShVUU,Shokazulu,broken beat,3
