Artist_ID,Name,Genres,Popularity
2c0qomdZabcCyqTZ5M9msd,The Donnas,"candy pop, glam punk",38
6we2CCxymhh4v30lZRhhpa,Hey Monday,"candy pop, neon pop punk, pixie, pop emo, pop punk",37
6DwziXuEMIoXk1xXJCscbr,TeraBrite,"candy pop, pixie",35
1TrzTUgWQlVRkoVGR0L7jy,The Dollyrots,"candy pop, power-pop punk",34
4FPmAi3p4T3p0AsthfqHMA,The Primitives,"britpop, c86, candy pop",39
6w5nIAeqFbZa9qssSwPsyn,Kari Kimmel,"bossbeat, candy pop",34
439RqyQhzmvM2TG7hn4KVs,Samantha Ronson,candy pop,30
7ooOn6bokl4mGV4CEaUz6A,Shakespears Sister,"candy pop, new wave pop",39
3SFVchRRMmFuOi3Azi0vTo,Saving Jane,candy pop,27
3M2ei8oRgZ3TwTo6F6votj,Rose Falcon,candy pop,26
429v4ypVJLyIyC4hKea0KN,VersaEmerge,"candy pop, pixie, pop emo",27
3IXBujNySf3RBaGjDI8dqm,Jane Wiedlin,"candy pop, new wave pop",34
4Bgfzia8wyaGaTn42egzTv,Catatonia,"britpop, candy pop, welsh indie, welsh rock",38
0KaOODqnbHxMIZ3qUH5F5n,Leigh Nash,candy pop,27
5kvxlmsGSMNf9bBtRbFLH2,Everlife,"candy pop, post-teen pop",24
1hKEBSwDGhKmshGFWiWm7S,Lesley Roy,candy pop,28
02odAcSXGSPTSO4P44Ztuw,Bif Naked,"canadian rock, candy pop, lilith",31
4UVVTy0qvm10N2I4dgsrtq,Damone,"candy pop, pop emo",21
7fFDeuI6844uubidbokLE7,Katy Rose,candy pop,24
7oIgcNOdEHNwP8NFl9tYWs,Transvision Vamp,"candy pop, new wave pop",35
1xC6PxD4wmRdmOx7IS6Any,Courtney Jaye,candy pop,22
36Cpz1IHGEFgEV0lmzNB5U,Tiffany Giardina,candy pop,25
5ydhCWsbFCpHyG2OhgO2og,Morningwood,candy pop,24
5Cmht6FxXbw5GtPOCrzjNM,Charlotte Martin,"candy pop, ectofolk, lilith, piano rock",25
6yAM1PGDw9qo26YNtIHLjt,Marion Ravn,"candy pop, norwegian pop",34
6bEiU0j4lC3yh2D1kHzFpb,Echobelly,"britpop, candy pop",28
00hKB8cu5lyBE35ilxyP7v,Lillix,"candy pop, power-pop punk",20
0FjH3HTpTYoa8BUdvlWldK,Automatic Loveletter,"candy pop, pixie, pop emo",20
38Tbx2UU0VVtVfftWIdGZh,Nina Gordon,"candy pop, lilith",20
5wfTNhhtnBtRwfoqZnHonC,Voice Of The Beehive,"candy pop, new wave pop",25
77lZwVn1U7L3e85XOdx7JQ,Boomkat,candy pop,21
1YfkHHdFKLCMHUOFd1qHYs,Megan McCauley,candy pop,17
5TymafJSADimtvQMebQ6PX,Hope 7,candy pop,16
0SvYb7P2vptgR6SN0ybgfb,KSM,candy pop,19
5X5R7HZjyntIcAqx77Dgix,Krystal Meyers,candy pop,17
1xS9wRaWvtlxsmERNuNJF2,The Pipettes,"brighton indie, candy pop",20
5B6pKWNYvZwaLjqvZoFYdB,Sara Paxton,candy pop,18
5tRfaKWXzvdRyISARq4VKS,Alana Grace,candy pop,15
7Cnz0jA7Cwlj34nLkiWsRg,Cherie,candy pop,15
3wxALGqcRtZ8oOXhal5VLQ,Stefy,candy pop,15
0kc2pePbFfYyRmzGoyAtgz,Halo Friendlies,"candy pop, power-pop punk",14
4cddmXsTEAguEoWtO5g07c,Charlotte Sometimes,candy pop,12
43lLY3aEg3yQz8sYhyvdn5,Alisha's Attic,"candy pop, new wave pop",25
13s3CA5chKKPo7sXja8fLO,Vedera,"candy pop, pop emo",11
7bP6eltGhNnG66NPQH3Zpd,Tamar Kaprelian,candy pop,13
5GADIJpXAjArLQXb0NXXWZ,78violet,"candy pop, post-teen pop",11
7odHnkIoCbfSyqjcmoqO5b,Terra Naomi,"candy pop, lilith",15
71rnEwE1lHQ0rNC3bUHqmf,I Nine,candy pop,9
6tIOMfnZKcOpsYcI6RoujQ,Maren Ord,candy pop,9
6cYWEBNHhE87wGU9BCBxTe,The Strange Familiar,"candy pop, deep indie singer-songwriter",13
62ZE05EcDkspUxRw1u2ger,Candy Hearts,"candy pop, power-pop punk",8
277EAyALDWGYg8VrJ25rni,Stephanie McIntosh,"australian pop, candy pop",17
77I9xdGxbRAq5phM0cKBMX,BC Jean,candy pop,10
3rfzM34KuZg7pA3G3PFspM,Clique Girlz,candy pop,9
78OWeLqujuL9HvRflPkx6N,Aselin Debison,"candy pop, cape breton indie",12
2A88qilIiHx89vDSqD3Sjp,Aloha From Hell,candy pop,14
0SDWRoniMX4v6PxKqAuNac,Kimberly Caldwell,"candy pop, idol",6
6yG0k5r13th34248rCB8Bz,Kenickie,"britpop, candy pop, north east england indie",12
0ntpW7uDV2yd4ALKs0GUrq,Ginger Sling,candy pop,3
2TB0wZDzT37eaTFB53K0LS,A Kiss Could Be Deadly,candy pop,3
2KH02FBsMyI9CwOtZEaLpV,Theaudience,"britpop, candy pop",8
71mSZk30FQAMTLbCkdENjG,The Tuesdays,candy pop,5
2hacz0eRalwG103Z0sr7zD,Shannon Thomas,candy pop,0
14hnffv60eEnPqWmaeZJLD,Sally Anthony,candy pop,3
013TPpYm3f3tOHBWxfculP,Cori Yarckin,candy pop,1
1WsMs4VxfwExq74eJC7nLP,Alissa Moreno,candy pop,4
79seuE9Lqfh9SFmXtDwqoD,Natascha Sohl,candy pop,0
6rcl7bvyZJufJe4Ree0YLm,Lindsay Robins,candy pop,1
4quDtvivYmFGPvPdkiwj2t,Danielle McKee,candy pop,0
45razCltjl4tqA29TcoMAs,Mandi Perkins,candy pop,0
0A8xhsMvUbbuR0FYBkGHhf,Kenotia,"candy pop, pixie, pop emo",4
0oTsOWICtxSJE2g5THRjXS,Karmina,candy pop,0
2hacz0eRalwG103Z0sr7zD,Shannon Thomas,candy pop,0
013TPpYm3f3tOHBWxfculP,Cori Yarckin,candy pop,1
4jXNJDgLpSqpSOzXlIcUaT,Betty Curse,candy pop,1
5KGZG9ciOyOzIRpvvoOYCE,Leslie Carter,candy pop,2
5HZGH1vb26Yn4T6ec1Rcft,Renee Cassar,candy pop,0
01dVbZM1psaDlHRVB9z7ig,The Maddigans,"canadian pop punk, candy pop, pop emo",1
