Artist_ID,Name,Genres,Popularity
2gyrzIEBDddx6GsW60DnW1,Denham Audio,"breaks, modern jungle",48
1cwlYsgHBYvLzT4C24AliQ,DJ Zinc,"bass house, drum and bass, jump up, jungle, old school bassline, uk dance, uk funky, uk garage",47
0Ism1B2cF9NxpXAwdUCkxK,Mungo's Hi Fi,"dub punk, ragga jungle, uk reggae",46
1V9Bmg9gpcQDBfNZBQCWw7,Deekline,"breakbeat, ragga jungle",47
5Wfn5sc1w3DhMTpU7oPJZL,LTJ Bukem,"atmospheric dnb, downtempo, drum and bass, jazzy dnb, jungle, trip hop",39
41vebFiEyxaRwT7rNmRLpq,Ragga Twins,"britcore, old school uk hip hop, ragga jungle, uk dancehall",40
3iL52u3kr14P6cTpB0VuEs,Mr. Williamz,"ragga jungle, uk dancehall",43
2bHgAaZ7qbGbMMXwAQm48I,General Levy,"ragga jungle, uk reggae",45
7jnJgk7LLLdpPhXrOOZXCa,Ed Solo,"breakbeat, ragga jungle",45
1rd51IrbtX9DqoU0Zxu4TV,DJ Marky,"brazilian dnb, drum and bass, jazzy dnb, jungle, liquid funk, sambass",43
75HK7rgkmDMTnWwwmcN53N,Andy C,"drum and bass, jungle, uk dnb",45
5UjqeSp9dX6Nrge7WdDukr,Roni Size,"big beat, breakbeat, drum and bass, jungle",38
3D71zH4KfjyILeWehJheDV,Original Sin,"drum and bass, jump up, jungle",39
42tN6kVgx34E0Oqk2nef4g,M-Beat,"jungle, ragga jungle",40
1BlBZ9jQGOjmj6Zykgg43L,4hero,"broken beat, drum and bass, jazztronica, jungle, nu jazz, rave, trip hop",36
3hXDMlrPegHRO0zUvBsRSI,Photek,"atmospheric dnb, drum and bass, intelligent dance music, jungle",35
37uswdRBtJ0qyXas292Uo0,Tenor Fly,"jungle, ragga jungle",41
2SYqJ3uDLLXZNyZdLKBy4M,Goldie,"atmospheric dnb, drum and bass, jungle",37
0YE17nrGKTk37bcKpKVUvi,Uk Apache,ragga jungle,42
7FtCGMC0pcHPlrZWmYe9XM,Break,"drum and bass, jungle, liquid funk, neurofunk",38
602tBNQHNIZL6tsB2RHAV1,Benny Page,"jungle, ragga jungle",41
0LOA5HEzl7oNKhPeHXpeQk,Tippa Irie,"old school uk hip hop, ragga jungle, uk dancehall",37
4thIP9ruwthrnBaBU9Wz8U,Gardna,ragga jungle,40
42uWTOhFxOD21pXuBmuEp9,Emz,modern jungle,38
3m38ZSwkLdeBDUhdGnFPrn,Adam F,"atmospheric dnb, drum and bass, jungle",34
1NngQUSMHaauD7UjKuaH2W,Congo Natty,"jungle, ragga jungle",38
25UCJWhCAOcXmm7i4hLyNP,Selecta J-Man,"jungle, ragga jungle",38
68Wb5Pcy71lLaKdIB6cBA5,Breakage,"classic dubstep, drum and bass, drumfunk, jungle",36
5Pexua3J92rqhQvEqTcRKP,Voltage,"bass house, drum and bass, jump up, jungle",38
3QR3QV1qQuTpcy1DIqOw9j,Top Cat,"jungle, ragga jungle",38
03KZUWKQujlCcgEdcrkvWd,Tim Reaper,"jungle, modern jungle",31
08hjAM9XAD28O0nWVKmlx5,Coco Bryce,"dutch dnb, modern jungle, skweee, wonky",32
1mNcpWcrGRZUvSPgJDVCpS,Jonny L,"drum and bass, drumfunk, jungle",33
6zKRU70JFcCQtP3vKV4ANm,Virgil Abloh,modern jungle,29
3kMQ0Gx56mVysMT3fqyneR,Sub Zero,"jump up, jungle, uk dnb",36
344eUtkVN3DoVFpNcyBzvv,Serial Killaz,"jungle, ragga jungle",37
5X8xxAPGx1ouTGDlgE5ray,Samurai Breaks,"breaks, modern jungle",27
59xdAObFYuaKO2phzzz07H,Special Request,"breaks, float house, future garage, modern jungle",32
4r0F1gbqeQsaPg5d2nm5EJ,Ell Murphy,modern jungle,31
6B7hlHWFBeEw2LGfcDM7OR,Commix,"drum and bass, jungle, liquid funk, minimal dnb",30
7nrVhzPUJsigF7rt9BL9jQ,4am Kru,modern jungle,33
7Cl1dU4G44kfQAg0f69J9v,Teebee,"darkstep, drum and bass, jungle, neurofunk",33
1SsdsVIIKLUe54OsHzm5uQ,Aphrodite,"breakbeat, drum and bass, jungle, ragga jungle",31
6kvXn2MzCLCtsAqf5nbmho,Origin Unknown,"drum and bass, jungle",32
5CDTMeaU6dnv24n6e4uAtk,Dillinja,"drum and bass, jungle, ragga jungle",30
0cVit0XTp4KB738vqWkUZ3,Main Phase,"modern jungle, ukg revival",33
4yvREhViCsrwclRdBAdlOl,Bladerunner,"drum and bass, jump up, jungle, ragga jungle",34
04rhebO91K6xoiXE0XuDkh,DJ Hazard,"bass house, drum and bass, jump up, jungle, ragga jungle",34
5LhPiEhAnNvzlwx6cWYxiL,Dubmatix,"dub, ragga jungle",30
