Artist_ID,Name,Genres,Popularity
6MDME20pz9RveH9rEXvrOM,Clean Bandit,"pop, uk dance, uk funky",72
77DAFfvm3O9zT5dIoG0eIO,Kyla,uk funky,68
4WN5naL3ofxrVBgFpguzKo,Rudimental,"pop dance, uk dance, uk funky",68
3ETLPQkcEd7z4k3IbZmXMq,Cleo Sol,"alternative r&b, uk contemporary r&b, uk funky",60
3AmWjMXXtBJOmNGpUFSOAl,Gang Of Four,"alternative rock, art punk, dance rock, funk rock, new wave, noise pop, post-punk, punk, uk post-punk",46
27YdXZOMLqvxI2pB5GyqyY,Grafix,"drum and bass, liquid funk, uk dnb",50
5EUdiv20t58GCS09VMKk7M,Katy B,"hip house, uk funky, uk garage",51
49GY4uPAwdlk5lSGtfKWYl,MJ Cole,"bass house, speed garage, uk funky, uk garage",46
2Kv0ApBohrL213X9avMrEn,Lil Silva,"future garage, uk funky, vogue",42
0MGTHZpAGf7isSfw8yMIoi,Dennis Ferrer,"deep house, house, uk funky",47
1cwlYsgHBYvLzT4C24AliQ,DJ Zinc,"bass house, drum and bass, jump up, jungle, old school bassline, uk dance, uk funky, uk garage",47
3xcx9CcYTM4M1890B8o9Bp,Donae'o,"azonto, grime, old school bassline, uk funky, uk hip hop",45
6SZvMOzWVSx6cWYGRrZh6d,Monrroe,"liquid funk, uk dnb",47
6aJAd8zM1s3Slw64KfsmaF,S.P.Y,"brazilian dnb, drum and bass, liquid funk, uk dnb",46
6NkoAm5Dd1wguz0ATgZKlF,Krakota,"dancefloor dnb, deep dnb, liquid funk, uk dnb",44
42qLC3FgtazA9AvaIoiP62,Ms. Dynamite,"uk funky, uk garage",47
3l1C23aRp4lfkBK3lLAp2m,Toddla T,"uk dancehall, uk funky",44
0sklgkoO5JeS7YNhHS5EmH,Calibre,"drum and bass, jazzy dnb, liquid funk, uk dnb",42
01K8GEMGGxtrQ4xjDmNLPs,Logistics,"drum and bass, liquid funk, uk dnb",39
7iczgrgAFILjQVGzLsUzbG,Danny Byrd,"drum and bass, liquid funk, uk dnb",42
62MkXCxcZ345tVUHsD9NK0,Chip Wickham,"indie jazz, instrumental funk, uk contemporary jazz",35
7gYMOxGbwZZgvaOc6z5VJG,Degs,"liquid funk, uk dnb",41
5scIsOrV9flbeOPUtdv24H,Emba,"liquid funk, uk dnb",42
4ly0VtIYiDYVA4q6ry0NUk,Redlight,"bass house, bristol electronic, house, uk dance, uk funky",41
4CbuwI3bEF7gQOwpxBKtal,London Elektricity,"drum and bass, liquid funk, uk dnb",37
4jl7rqDfdaWDHD0RdP7ndM,Inja,"liquid funk, uk dnb",41
7pDBRy9uWy1zq5b0uXIABQ,Nu:Tone,"drum and bass, liquid funk, uk dnb",37
27Sc6g0Utbc8hvWrzTFVc8,Charli Brix,"liquid funk, uk dnb",36
3069G1J62ioGObj518Umm2,Sustance,"deep dnb, liquid funk, uk dnb",36
6VXB0WH4MfmhZyongoEYZr,Crazy Cousinz,uk funky,37
3dfQn1ijJNptfREJB2rRd2,Artificial Intelligence,"deep dnb, drum and bass, liquid funk, uk dnb",34
550Zxz0BTZi3yd8gX9QINw,iLL BLU,"uk funky, uk hip hop",38
2648rIoX4aFFXNipSvyBUD,Koherent,"bristol electronic, deep dnb, liquid funk, uk dnb",33
4MswQnojZK1oRaxNsACqjv,Wookie,"2-step, uk funky, uk garage",37
2uCrvTUHRA9kuW4IA67oDn,Telomic,"liquid funk, uk dnb",32
3cHya45cxGzLYIPg2LRCCR,Champion,"bass house, old school bassline, uk funky",34
5XPW5vMGMW4tA1Z3qosShb,Riya,"liquid funk, uk dnb",34
5pL8Q5xbDLEDE6JvYMXX9u,Nu:Logic,"drum and bass, liquid funk, neurofunk, uk dnb",30
1I8ac7F9m1rf0KT3l1iAiP,Cherri V,uk funky,21
1XZzbCZRuj6eOdRxQcmiD7,Zed Bias,"broken beat, uk funky, uk garage",33
79gz89B3EUt31SNQVQW1tU,Dogger,"liquid funk, uk dnb",31
4EFQ72yLfJfWI3eEz59fkY,Anile,"drumfunk, liquid funk, uk dnb",30
20X39VOcF5zEpkOx6WrXlY,Total Science,"drum and bass, jump up, jungle, liquid funk, neurofunk, uk dnb",29
0glR494sLIJfgyO03vHgnw,Champion,uk funky,30
4dS6XMUu4xeN5rLmWIqbYa,The Vanguard Project,"liquid funk, uk dnb",30
7p6ffz42sYfufojFrfIDlX,Aperio,"liquid funk, uk dnb",28
7KzRXWiO7ggx1pbXccMSTm,Grey Code,"deep dnb, liquid funk, uk dnb",28
2im0IjdcMRFwGxc5R4Jj82,Workforce,"liquid funk, uk dnb",28
2PR9nGANZUfxMEfRBoJfYI,Low:r,"liquid funk, uk dnb",27
5nH9A6diTpYZVs8YuPB8kw,Scott Diaz,"deep funk house, deep house, soulful house, uk house",29
4XYh8yz79ILkPPbUSi9S20,T.Williams,uk funky,27
6kgD8l1FG4hgYgW9kk0dvs,DLR,"bristol electronic, deep dnb, deep liquid bass, liquid funk, neurofunk, uk dnb",28
4G1BTcGLvvsItegHSvBH0y,dBridge,"drum and bass, drumfunk, liquid funk, minimal dnb, neurofunk, uk dnb",27
5LPAxQ1kOdRFs96mqODcX9,Maxwell D,"uk dancehall, uk funky",25
3UqjGZR6Xz1IZesQwLJZb7,Invadhertz,"deep dnb, liquid funk, uk dnb",27
43DHa7Q1IhECAE5YtN3jHQ,Malaky,"liquid funk, uk dnb",25
1LUyPCV4OiooCwffEq5ftD,Marcus Intalex,"drum and bass, drumfunk, liquid funk, neurofunk, uk dnb",26
6vRVgeHl41EnFo70a8iYIG,In:Most,"liquid funk, uk dnb",25
2M9VekPKghfVcZKgiugbNH,Sticky,"grime, uk funky, uk garage",32
0y84aioPoEjBOzm24Iranq,DJ Supa D,uk funky,28
6147A0TM1JrrEkin51nwnD,Kele Le Roc,"uk funky, uk garage",28
1dALWnW29ss1hlKMGoxtRW,Shystie,uk funky,30
5p8U1acntDKzfbbZLwWYE5,Roska,"future garage, uk bass, uk funky, ukg revival",22
